timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
390470494,2162698,2162698,1114122,0,0,0.16801478,0.16801466,0.0,0.0,2162698,2162698,2228234,0,0,0.004211326,0.0042113257,0.0,0.0,1,1,0,0,1,1,0,0
390673015,2162698,2162698,1114122,0,0,0.05984265,0.059842616,0.0,0.0,2162698,2162698,2228234,0,0,0.0021337944,0.002133797,0.0,0.0,1,1,0,0,1,1,0,0
390870717,2162698,2162698,1114122,0,0,0.035847466,0.035847493,0.0,0.0,2162698,2162698,2228234,0,0,0.004603038,0.004603038,0.0,0.0,1,1,0,0,1,1,0,0
391073045,2162698,2162698,1114122,0,0,0.173087,0.17308702,0.0,0.0,2162698,2162698,2228234,0,0,0.0016716566,0.0016716566,0.0,0.0,1,1,0,0,1,1,0,0
391270847,2162698,2162698,1114122,0,0,0.10771927,0.107719354,0.0,0.0,2162698,2162698,2228234,0,0,0.0012186229,0.0012186229,0.0,0.0,1,1,0,0,1,1,0,0
391468740,2162698,2162698,1114122,0,0,0.17645071,0.17645058,0.0,0.0,2162698,2162698,2228234,0,0,0.0019794216,0.001979422,0.0,0.0,1,1,0,0,1,1,0,0
391671177,2162698,2162698,1114122,0,0,0.1382657,0.13826571,0.0,0.0,2162698,2162698,2228234,0,0,0.0031096712,0.0031096714,0.0,0.0,1,1,0,0,1,1,0,0
391869025,2162698,2162698,1114122,0,0,0.31236157,0.31236163,0.0,0.0,2162698,2162698,2228234,0,0,0.00440547,0.004405469,0.0,0.0,1,1,0,0,1,1,0,0
392071459,2162698,2162698,1114122,0,0,0.22413355,0.22413346,0.0,0.0,2162698,2162698,2228234,0,0,0.0069884122,0.0069884122,0.0,0.0,1,1,0,0,1,1,0,0
392273614,2162698,2162698,1114122,0,0,0.1368738,0.13687366,0.0,0.0,2162698,2162698,2228234,0,0,0.0022129037,0.0022129037,0.0,0.0,1,1,0,0,1,1,0,0
392471776,2162698,2162698,1114122,0,0,0.19469981,0.19469978,0.0,0.0,2162698,2162698,2228234,0,0,0.0043737176,0.004373717,0.0,0.0,1,1,0,0,1,1,0,0
392669393,2162698,2162698,1114122,0,0,0.09507667,0.09507674,0.0,0.0,2162698,2162698,2228234,0,0,0.003557062,0.0035570622,0.0,0.0,1,1,0,0,1,1,0,0
392871749,2162698,2162698,1114122,0,0,0.13383077,0.13383083,0.0,0.0,2162698,2162698,2228234,0,0,0.0057818918,0.0057818918,0.0,0.0,1,1,0,0,1,1,0,0
393069609,2162698,2162698,1114122,0,0,0.24392143,0.24392143,0.0,0.0,2162698,2162698,2228234,0,0,0.00492549,0.0049254904,0.0,0.0,1,1,0,0,1,1,0,0
393272039,2162698,2162698,1114122,0,0,0.07223601,0.0722361,0.0,0.0,2162698,2162698,2228234,0,0,0.0046579,0.0046578995,0.0,0.0,1,1,0,0,1,1,0,0
393474368,2162698,2162698,1114122,0,0,0.2067948,0.20679481,0.0,0.0,2162698,2162698,2228234,0,0,0.0044004917,0.0044004912,0.0,0.0,1,1,0,0,1,1,0,0
393672132,2162698,2162698,1114122,0,0,0.2467175,0.24671747,0.0,0.0,2162698,2162698,2228234,0,0,0.0030778674,0.0030778674,0.0,0.0,1,1,0,0,1,1,0,0
393870086,2162698,2162698,1114122,0,0,0.23110983,0.23110974,0.0,0.0,2162698,2162698,2228234,0,0,0.002943695,0.002943695,0.0,0.0,1,1,0,0,1,1,0,0
394072349,2162698,2162698,1114122,0,0,0.1519382,0.15193819,0.0,0.0,2162698,2162698,2228234,0,0,0.0031324471,0.003132448,0.0,0.0,1,1,0,0,1,1,0,0
394270330,2162698,2162698,1114122,0,0,0.13328476,0.13328482,0.0,0.0,2162698,2162698,2228234,0,0,0.0024040248,0.0024040253,0.0,0.0,1,1,0,0,1,1,0,0
394468122,2162698,2162698,1114122,0,0,0.19584236,0.19584243,0.0,0.0,2162698,2162698,2228234,0,0,0.002971343,0.002971343,0.0,0.0,1,1,0,0,1,1,0,0
394670570,2162698,2162698,1114122,0,0,0.31032068,0.31032065,0.0,0.0,2162698,2162698,2228234,0,0,0.0045930156,0.004593015,0.0,0.0,1,1,0,0,1,1,0,0
