timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
403670587,22.571901,22.656662,0.0,3.5e-44,-1.0,0.000497488,0.53605753,1.0838038,nan,6,3.7761104,3.7761104,3.7761104,3.7761104,3.7761104,3.7761104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
403870544,22.892246,22.661531,0.0,3.5e-44,-1.0,0.000497488,0.5368348,1.0836517,nan,6,3.776922,3.776922,3.776922,3.776922,3.776922,3.776922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
404070650,22.79368,22.676016,0.0,3.5e-44,-1.0,0.000497488,0.5386582,1.0832949,nan,6,3.779336,3.779336,3.779336,3.779336,3.779336,3.779336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
404270549,22.473335,22.655912,0.0,3.5e-44,-1.0,0.000497488,0.53346974,1.0843105,nan,6,3.7759855,3.7759855,3.7759855,3.7759855,3.7759855,3.7759855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
404470720,22.801893,22.652962,0.0,3.5e-44,-1.0,0.000497488,0.53291565,1.0844191,nan,6,3.7754936,3.7754936,3.7754936,3.7754936,3.7754936,3.7754936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
404670542,22.61297,22.663626,0.0,3.5e-44,-1.0,0.000497488,0.53498656,1.0840135,nan,6,3.777271,3.777271,3.777271,3.777271,3.777271,3.777271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
404871012,22.727966,22.670935,0.0,3.5e-44,-1.0,0.000497488,0.5369087,1.0836371,nan,6,3.778489,3.778489,3.778489,3.778489,3.778489,3.778489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
405070541,22.604757,22.644712,0.0,3.5e-44,-1.0,0.000497488,0.5325094,1.0844988,nan,6,3.7741187,3.7741187,3.7741187,3.7741187,3.7741187,3.7741187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
405271271,22.69511,22.64274,0.0,3.5e-44,-1.0,0.000497488,0.5329967,1.0844033,nan,6,3.7737901,3.7737901,3.7737901,3.7737901,3.7737901,3.7737901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
405470619,22.555475,22.643667,0.0,3.5e-44,-1.0,0.000497488,0.5326901,1.0844634,nan,6,3.7739446,3.7739446,3.7739446,3.7739446,3.7739446,3.7739446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
405671247,22.415838,22.63879,0.0,3.5e-44,-1.0,0.000497488,0.53136975,1.0847223,nan,6,3.7731316,3.7731316,3.7731316,3.7731316,3.7731316,3.7731316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
